GLASS_LAI
0.15
0.2
0.2
0.2
0.2
0.2
0.15
0.17500058
0.2
0.2
0.22500058
0.25
0.35
0.3
0.45000115
0.55
0.6
0.6250017
0.65000117
0.7000012
0.72500056
0.8250006
0.8250006
0.8250006
0.8250006
0.85000116
0.8250006
0.7000012
0.7500012
0.7500012
0.6250006
0.6250006
0.6
0.50000113
0.5750006
0.4
0.40000117
0.35
0.25
0.3
0.25000116
0.15
0.2
0.2
0.2
0.15
