MOD_LAI,RF_LAI,SAI
0.0,1.527349993220409,0.6996364256491339
0.0,1.4163489772828612,0.6996364256491339
0.0,1.407684677351698,0.6996364256491339
0.0,2.139939228966961,0.6996364256491339
0.0,3.0173501393237014,0.6996364256491339
0.0,3.8480003410702364,0.6996364256491339
0.0,3.789362766265709,0.6996364256491339
0.0,3.55162797562647,0.6996364256491339
0.0,2.884700354228048,0.6996364256491339
0.0,2.413575048965192,0.6996364256491339
0.0,1.8049507698604756,0.6996364256491339
0.0,1.5594841102803763,0.6996364256491339
