MOD_LAI,RF_LAI,SAI
0.0,5.04450466396411,0.9192296874848483
0.0,5.055763281166666,0.9192296874848483
0.0,4.946893671502128,0.9192296874848483
0.0,4.9998226221583995,0.9192296874848483
0.0,4.79794919347713,0.9192296874848483
0.0,4.843876962244887,0.9192296874848483
0.0,4.7863169979654145,0.9192296874848483
0.0,4.998517777958351,0.9192296874848483
0.0,4.946155924665081,0.9192296874848483
0.0,4.75936974057093,0.9192296874848483
0.0,4.508974471457133,0.9192296874848483
0.0,4.391847943495327,0.9192296874848483
