MOD_LAI,RF_LAI,SAI
0.0,2.212182088974738,0.9196093502719931
0.0,2.2139163612888733,0.8655737765122766
0.0,2.1687094719005686,0.8655737765122766
0.0,2.8365289896242807,0.8655737765122766
0.0,3.598480884036689,0.8655737765122766
0.0,4.4470819100554495,0.8655737765122766
0.0,4.760655770817522,0.8655737765122766
0.0,4.608055661070022,0.8655737765122766
0.0,3.9087569562513127,0.8655737765122766
0.0,3.242163546488652,0.8655737765122766
0.0,3.056877860377842,0.8655737765122766
0.0,3.1858270130064477,0.8655737765122766
