,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,0.36143979529052306,0.48617850437788634,0.5144320534448265,0.544821417559333,0.5290904409721474,0.5321426557561727,0.525438097246352,0.5280796270540243,0.5229684820797101,0.5136278110294681,0.5121789862437744,0.5201630999452856,0.5209719299424012,0.519510206435158,0.545310472169687,0.5369671973757836,0.5493215711347248,0.5659055879151782,0.5385513094498481,0.5266879542770965,0.5388949483741617,0.5326977493584423,0.5380700809799901
Feb,0.41499699745955865,0.48876565865887867,0.49037557649814867,0.5192948308216263,0.49431618955178724,0.5040522706192899,0.49384747210035623,0.5017341742177232,0.5042340349073821,0.48349669369860926,0.4905036246995414,0.48608512361901685,0.4984957953142007,0.49064008262425374,0.5243024239395816,0.5124072919254286,0.507158062959865,0.5283917165134134,0.5073619736483993,0.5020247949148955,0.5047264940527683,0.5097726752007282,0.5034909955938723
Mar,0.45894242825360493,0.4903392352851699,0.4938948454266,0.49851669241172164,0.49249511157403336,0.4919532947113702,0.4983438619718686,0.49569535430725203,0.4967617120756397,0.48703291729947923,0.48714349839287174,0.49714640282337,0.5020414278655825,0.4950486594284123,0.49371571281359306,0.5079008658312493,0.5000327635625398,0.5170519240909585,0.5016930931174244,0.4987309161908229,0.49893138101617335,0.4975386478690576,0.4979577553258264
Apr,0.5191722194949808,0.5166161509890391,0.5300120500274983,0.5426712150577839,0.5264056223134138,0.540713845823916,0.5353290299396524,0.5402229181052187,0.5335090097556823,0.5357631709602872,0.5353924406695136,0.5627174898970593,0.54056177234505,0.5522462374244494,0.5455199673613249,0.5759839381575315,0.5468785842683215,0.5508126971763195,0.5598014490670565,0.5456004856870438,0.548194538023495,0.5537445063094524,0.5495173779238612
May,0.5702327565774798,0.5316796710962437,0.5705823653377765,0.572674403253684,0.5701249536906128,0.5491036184518392,0.5499415269040265,0.5454903189163639,0.562347112934209,0.553273835630682,0.532453407188135,0.5734634444500624,0.5665143068576628,0.5624428296302056,0.5589651444690202,0.5812412755489972,0.563895634183891,0.5670383345326679,0.5827025923570625,0.5659266054669922,0.5556954584122873,0.5529846485889656,0.5643238400699081
Jun,0.6279366056778988,0.557479535026866,0.6112250271065958,0.6133275684575482,0.5924149317119489,0.6037307465439012,0.5868192969473954,0.5978063450647538,0.6028467793594532,0.5930278644576706,0.600469422626478,0.6242364366890408,0.6061175123050749,0.6014175797942682,0.588503870810234,0.6216500188230397,0.604949320540429,0.6158278999259903,0.6069210851363916,0.611000428864163,0.6067305668260804,0.6160516305981953,0.6242097275302232
Jul,0.6305210996600126,0.6122477456584152,0.6438065407436203,0.6226734165558543,0.612640610841123,0.6033036615593786,0.6407102057933864,0.6283987394407071,0.6340058003243767,0.6256323659606855,0.617430972680898,0.6113116084019371,0.6207516823138693,0.6174512051800046,0.6218096870637512,0.5981311901324121,0.618188169756736,0.6233938345341311,0.6285076151081218,0.6285033143022386,0.6060598757227847,0.6160128458268886,0.6203842783756318
Aug,0.602055631600254,0.6316376631564818,0.607467959572613,0.5972099147658044,0.6007939803438085,0.5927446837796942,0.5972854152264124,0.5985118079833441,0.5907624283868913,0.5994914589839083,0.5982845582582945,0.6061717852569578,0.6046305794444687,0.5969633349357603,0.5996154842208521,0.6055126320387217,0.5975024672130866,0.6067155289081763,0.6126334234176207,0.6076087720575161,0.5954834214227512,0.5995263376043228,0.5978847015426932
Sep,0.5346848790578882,0.5562404978233187,0.5780243269089748,0.5712459654990085,0.5633930403744145,0.5650163566929566,0.5580034845687746,0.5628259948224088,0.553595454014281,0.5605681105198863,0.5737960471672819,0.5784231312036864,0.5825117068576092,0.5660304010422127,0.5804979725924113,0.5727525717111552,0.5784550889647428,0.5818808885801764,0.5825484935494554,0.5745377115201736,0.5771846587674277,0.5735444247621594,0.5796490918936991
Oct,0.5042915888233112,0.5160939048822878,0.5538494031024173,0.54363135401678,0.5410658130546515,0.5297418650331599,0.5347793149106174,0.5396846947140391,0.5214109271688896,0.5271159989572227,0.5401501113017064,0.5487791752294254,0.5386599639794792,0.5402695865108443,0.562245884413278,0.5655804330211938,0.5624415834887674,0.5471159254115375,0.5530846480646736,0.5529510984222118,0.559312398416268,0.5507177027452151,0.5508729607192373
Nov,0.47945935025437264,0.4823656545107992,0.5235123911514963,0.5072319209496282,0.5159334716671323,0.49863184680221695,0.5013165612497978,0.5000595500721804,0.49476900895799075,0.4850109274302716,0.5085028103823105,0.5133558189990531,0.5058472542522612,0.5096923414972816,0.5293226129432957,0.5304334267648516,0.5390012763006656,0.516347795347635,0.530705591516314,0.5171041867087476,0.5149908912444037,0.5260869766758249,0.5185823366459088
Dec,0.5005609590143165,0.5195287176825362,0.5569470344708575,0.5495289266466776,0.5493463994042318,0.5521016639124695,0.540382653808946,0.5348594002496494,0.5326693114059989,0.5293639978405369,0.5356215786519316,0.5528467767565624,0.5360168248896173,0.546910031675708,0.5622960486211734,0.5652812028391391,0.573431068589079,0.5467825885594044,0.5618399455440346,0.5572592530251006,0.55790022758176,0.5589578652081953,0.54984616304523
